id,pre_or_post,question_number,choice_key,choice_value,allow_multiple
153,post,62,c,i liked the challenge of doing hard problems,0
154,post,62,d,i liked the challenge of finishing a lot of problems before time ran out,0
155,post,62,e,none of the above,0
156,post,63,a,i like math,0
157,post,63,b,i wanted to earn money,0
158,post,63,c,i liked the challenge of doing hard problems,0
159,post,63,d,i liked the challenge of finishing a lot of problems before the time ran out,0
160,post,63,e,none of the above,0
161,post,64,a,"yes, i understand it a lot better now",0
162,post,64,b,"yes, i understand it a little better now",0
163,post,64,c,i feel like i understand math about the same as i did before,0
164,post,64,d,"no, i feel like i understand math less than i did before",0
165,post,64,e,NOT A SELECTION,0
166,post,65,a,"yes, i like math a lot more now",0
167,post,65,b,"yes, i like math a little better now",0
168,post,65,c,i like math about the same as i did before,0
169,post,65,d,"no, i like math less than i did before",0
170,post,65,e,NOT A SELECTION,0
